id,input_json,ground_truth
ldc_entity_recog_010,"{""text"": ""Under the stars and moons of the renovated Indiana Roof ballroom , nine of the hottest chefs in town fed them Indiana duckling mousseline , lobster consomme , veal mignon and chocolate terrine with a raspberry sauce ."", ""tok"": ""Under the stars and moons of the renovated Indiana Roof ballroom , nine of the hottest chefs in town fed them Indiana duckling mousseline , lobster consomme , veal mignon and chocolate terrine with a raspberry sauce ."", ""tok_labeled"": ""Under the stars and moons of the renovated <ENAMEX TYPE=\""FAC\"">Indiana Roof ballroom</ENAMEX> , <ENAMEX TYPE=\""CARDINAL\"">nine</ENAMEX> of the hottest chefs in town fed them <ENAMEX TYPE=\""GPE\"">Indiana</ENAMEX> duckling mousseline , lobster consomme , veal mignon and chocolate terrine with a raspberry sauce .""}",Indiana Roof ballroom;nine;Indiana
ldc_entity_recog_011,"{""text"": ""But for now , they 're looking forward to their winter meeting -- Boca in February ."", ""tok"": ""But for now , they 're looking forward to their winter meeting -- Boca in February ."", ""tok_labeled"": ""But for now , they 're looking forward to their <ENAMEX TYPE=\""DATE\"">winter</ENAMEX> meeting -- <ENAMEX TYPE=\""GPE\"">Boca</ENAMEX> in <ENAMEX TYPE=\""DATE\"">February</ENAMEX> .""}",winter;Boca;February
ldc_entity_recog_012,"{""text"": ""Finmeccanica is an Italian state - owned holding company with interests in the mechanical engineering industry ."", ""tok"": ""Finmeccanica is an Italian state - owned holding company with interests in the mechanical engineering industry ."", ""tok_labeled"": ""<ENAMEX TYPE=\""ORG\"">Finmeccanica</ENAMEX> is an <ENAMEX TYPE=\""NORP\"">Italian</ENAMEX> state - owned holding company with interests in the mechanical engineering industry .""}",Finmeccanica;Italian
ldc_entity_recog_013,"{""text"": ""Bailey Controls , based in Wickliffe , Ohio , makes computerized industrial controls systems ."", ""tok"": ""Bailey Controls , based in Wickliffe , Ohio , makes computerized industrial controls systems ."", ""tok_labeled"": ""<ENAMEX TYPE=\""ORG\"">Bailey Controls</ENAMEX> , based in <ENAMEX TYPE=\""GPE\"">Wickliffe</ENAMEX> , <ENAMEX TYPE=\""GPE\"">Ohio</ENAMEX> , makes computerized industrial controls systems .""}",Bailey Controls;Wickliffe;Ohio
ldc_entity_recog_014,"{""text"": ""It employs 2,700 people and has annual revenue of about $ 370 million ."", ""tok"": ""It employs 2,700 people and has annual revenue of about $ 370 million ."", ""tok_labeled"": ""It employs <ENAMEX TYPE=\""CARDINAL\"">2,700</ENAMEX> people and has annual revenue of <ENAMEX TYPE=\""MONEY\"">about $ 370 million</ENAMEX> .""}","2,700;about $ 370 million"
ldc_entity_recog_015,"{""text"": ""South Korea registered a trade deficit of $ 101 million in October , reflecting the country 's economic sluggishness , according to government figures released Wednesday ."", ""tok"": ""South Korea registered a trade deficit of $ 101 million in October , reflecting the country 's economic sluggishness , according to government figures released Wednesday ."", ""tok_labeled"": ""<ENAMEX TYPE=\""GPE\"">South Korea</ENAMEX> registered a trade deficit of <ENAMEX TYPE=\""MONEY\"">$ 101 million</ENAMEX> in <ENAMEX TYPE=\""DATE\"">October</ENAMEX> , reflecting the country 's economic sluggishness , according to government figures released <ENAMEX TYPE=\""DATE\"">Wednesday</ENAMEX> .""}",South Korea;$ 101 million;October;Wednesday
ldc_entity_recog_016,"{""text"": ""Preliminary tallies by the Trade and Industry Ministry showed another trade deficit in October , the fifth monthly setback this year , casting a cloud on South Korea 's export - oriented economy ."", ""tok"": ""Preliminary tallies by the Trade and Industry Ministry showed another trade deficit in October , the fifth monthly setback this year , casting a cloud on South Korea 's export - oriented economy ."", ""tok_labeled"": ""Preliminary tallies by <ENAMEX TYPE=\""ORG\"">the Trade and Industry Ministry</ENAMEX> showed another trade deficit in <ENAMEX TYPE=\""DATE\"">October</ENAMEX> , the <ENAMEX TYPE=\""ORDINAL\"">fifth</ENAMEX> <ENAMEX TYPE=\""DATE\"">monthly</ENAMEX> setback <ENAMEX TYPE=\""DATE\"">this year</ENAMEX> , casting a cloud on <ENAMEX TYPE=\""GPE\"">South Korea 's</ENAMEX> export - oriented economy .""}",the Trade and Industry Ministry;October;fifth;monthly;this year;South Korea 's
ldc_entity_recog_017,"{""text"": ""Exports in October stood at $ 5.29 billion , a mere 0.7 % increase from a year earlier , while imports increased sharply to $ 5.39 billion , up 20 % from last October ."", ""tok"": ""Exports in October stood at $ 5.29 billion , a mere 0.7 % increase from a year earlier , while imports increased sharply to $ 5.39 billion , up 20 % from last October ."", ""tok_labeled"": ""Exports in <ENAMEX TYPE=\""DATE\"">October</ENAMEX> stood at <ENAMEX TYPE=\""MONEY\"">$ 5.29 billion</ENAMEX> , a mere <ENAMEX TYPE=\""PERCENT\"">0.7 %</ENAMEX> increase from <ENAMEX TYPE=\""DATE\"">a year earlier</ENAMEX> , while imports increased sharply to <ENAMEX TYPE=\""MONEY\"">$ 5.39 billion</ENAMEX> , up <ENAMEX TYPE=\""PERCENT\"">20 %</ENAMEX> from <ENAMEX TYPE=\""DATE\"">last October</ENAMEX> .""}",October;$ 5.29 billion;0.7 %;a year earlier;$ 5.39 billion;20 %;last October
ldc_entity_recog_018,"{""text"": ""South Korea 's economic boom , which began in 1986 , stopped this year because of prolonged labor disputes , trade conflicts and sluggish exports ."", ""tok"": ""South Korea 's economic boom , which began in 1986 , stopped this year because of prolonged labor disputes , trade conflicts and sluggish exports ."", ""tok_labeled"": ""<ENAMEX TYPE=\""GPE\"">South Korea 's</ENAMEX> economic boom , which began in <ENAMEX TYPE=\""DATE\"">1986</ENAMEX> , stopped <ENAMEX TYPE=\""DATE\"">this year</ENAMEX> because of prolonged labor disputes , trade conflicts and sluggish exports .""}",South Korea 's;1986;this year
ldc_entity_recog_019,"{""text"": ""Government officials said exports at the end of the year would remain under a government target of $ 68 billion ."", ""tok"": ""Government officials said exports at the end of the year would remain under a government target of $ 68 billion ."", ""tok_labeled"": ""Government officials said exports at <ENAMEX TYPE=\""DATE\"">the end of the year</ENAMEX> would remain under a government target of <ENAMEX TYPE=\""MONEY\"">$ 68 billion</ENAMEX> .""}",the end of the year;$ 68 billion
ldc_entity_recog_020,"{""text"": ""Despite the gloomy forecast , South Korea has recorded a trade surplus of $ 71 million so far this year ."", ""tok"": ""Despite the gloomy forecast , South Korea has recorded a trade surplus of $ 71 million so far this year ."", ""tok_labeled"": ""Despite the gloomy forecast , <ENAMEX TYPE=\""GPE\"">South Korea</ENAMEX> has recorded a trade surplus of <ENAMEX TYPE=\""MONEY\"">$ 71 million</ENAMEX> so far <ENAMEX TYPE=\""DATE\"">this year</ENAMEX> .""}",South Korea;$ 71 million;this year
ldc_entity_recog_021,"{""text"": ""From January to October , the nation 's accumulated exports increased 4 % from the same period last year to $ 50.45 billion ."", ""tok"": ""From January to October , the nation 's accumulated exports increased 4 % from the same period last year to $ 50.45 billion ."", ""tok_labeled"": ""From <ENAMEX TYPE=\""DATE\"">January to October</ENAMEX> , the nation 's accumulated exports increased <ENAMEX TYPE=\""PERCENT\"">4 %</ENAMEX> from the same period <ENAMEX TYPE=\""DATE\"">last year</ENAMEX> to <ENAMEX TYPE=\""MONEY\"">$ 50.45 billion</ENAMEX> .""}",January to October;4 %;last year;$ 50.45 billion
ldc_entity_recog_022,"{""text"": ""Imports were at $ 50.38 billion , up 19 % ."", ""tok"": ""Imports were at $ 50.38 billion , up 19 % ."", ""tok_labeled"": ""Imports were at <ENAMEX TYPE=\""MONEY\"">$ 50.38 billion</ENAMEX> , up <ENAMEX TYPE=\""PERCENT\"">19 %</ENAMEX> .""}",$ 50.38 billion;19 %
ldc_entity_recog_023,"{""text"": ""Pierre Vinken , 61 years old , will join the board as a nonexecutive director Nov. 29 ."", ""tok"": ""Pierre Vinken , 61 years old , will join the board as a nonexecutive director Nov. 29 ."", ""tok_labeled"": ""<ENAMEX TYPE=\""PERSON\"">Pierre Vinken</ENAMEX> , <ENAMEX TYPE=\""DATE\"">61 years old</ENAMEX> , will join the board as a nonexecutive director <ENAMEX TYPE=\""DATE\"">Nov. 29</ENAMEX> .""}",Pierre Vinken;61 years old;Nov. 29
ldc_entity_recog_024,"{""text"": ""Mr. Vinken is chairman of Elsevier N.V. , the Dutch publishing group ."", ""tok"": ""Mr. Vinken is chairman of Elsevier N.V. , the Dutch publishing group ."", ""tok_labeled"": ""Mr. <ENAMEX TYPE=\""PERSON\"">Vinken</ENAMEX> is chairman of <ENAMEX TYPE=\""ORG\"">Elsevier N.V.</ENAMEX> , the <ENAMEX TYPE=\""NORP\"">Dutch</ENAMEX> publishing group .""}",Vinken;Elsevier N.V.;Dutch
ldc_entity_recog_025,"{""text"": ""Rudolph Agnew , 55 years old and former chairman of Consolidated Gold Fields PLC , was named a nonexecutive director of this British industrial conglomerate ."", ""tok"": ""Rudolph Agnew , 55 years old and former chairman of Consolidated Gold Fields PLC , was named a nonexecutive director of this British industrial conglomerate ."", ""tok_labeled"": ""<ENAMEX TYPE=\""PERSON\"">Rudolph Agnew</ENAMEX> , <ENAMEX TYPE=\""DATE\"">55 years old</ENAMEX> and former chairman of <ENAMEX TYPE=\""ORG\"">Consolidated Gold Fields PLC</ENAMEX> , was named a nonexecutive director of this <ENAMEX TYPE=\""NORP\"">British</ENAMEX> industrial conglomerate .""}",Rudolph Agnew;55 years old;Consolidated Gold Fields PLC;British
ldc_entity_recog_026,"{""text"": ""A form of asbestos once used to make Kent cigarette filters has caused a high percentage of cancer deaths among a group of workers exposed to it more than 30 years ago , researchers reported ."", ""tok"": ""A form of asbestos once used to make Kent cigarette filters has caused a high percentage of cancer deaths among a group of workers exposed to it more than 30 years ago , researchers reported ."", ""tok_labeled"": ""A form of asbestos once used to make <ENAMEX TYPE=\""PRODUCT\"">Kent</ENAMEX> cigarette filters has caused a high percentage of cancer deaths among a group of workers exposed to it <ENAMEX TYPE=\""DATE\"">more than 30 years ago</ENAMEX> , researchers reported .""}",Kent;more than 30 years ago
ldc_entity_recog_027,"{""text"": ""The asbestos fiber , crocidolite , is unusually resilient once it enters the lungs , with even brief exposures to it causing symptoms that show up decades later , researchers said ."", ""tok"": ""The asbestos fiber , crocidolite , is unusually resilient once it enters the lungs , with even brief exposures to it causing symptoms that show up decades later , researchers said ."", ""tok_labeled"": ""The asbestos fiber , crocidolite , is unusually resilient once it enters the lungs , with even brief exposures to it causing symptoms that show up <ENAMEX TYPE=\""DATE\"">decades later</ENAMEX> , researchers said .""}",decades later
ldc_entity_recog_028,"{""text"": ""Lorillard Inc. , the unit of New York - based Loews Corp. that makes Kent cigarettes , stopped using crocidolite in its Micronite cigarette filters in 1956 ."", ""tok"": ""Lorillard Inc. , the unit of New York - based Loews Corp. that makes Kent cigarettes , stopped using crocidolite in its Micronite cigarette filters in 1956 ."", ""tok_labeled"": ""<ENAMEX TYPE=\""ORG\"">Lorillard Inc.</ENAMEX> , the unit of <ENAMEX TYPE=\""GPE\"">New York</ENAMEX> - based <ENAMEX TYPE=\""ORG\"">Loews Corp.</ENAMEX> that makes <ENAMEX TYPE=\""PRODUCT\"">Kent</ENAMEX> cigarettes , stopped using crocidolite in its <ENAMEX TYPE=\""PRODUCT\"">Micronite</ENAMEX> cigarette filters in <ENAMEX TYPE=\""DATE\"">1956</ENAMEX> .""}",Lorillard Inc.;New York;Loews Corp.;Kent;Micronite;1956
ldc_entity_recog_029,"{""text"": ""Although preliminary findings were reported more than a year ago , the latest results appear in today 's New England Journal of Medicine , a forum likely to bring new attention to the problem ."", ""tok"": ""Although preliminary findings were reported more than a year ago , the latest results appear in today 's New England Journal of Medicine , a forum likely to bring new attention to the problem ."", ""tok_labeled"": ""Although preliminary findings were reported <ENAMEX TYPE=\""DATE\"">more than a year ago</ENAMEX> , the latest results appear in <ENAMEX TYPE=\""DATE\"">today</ENAMEX> 's <ENAMEX TYPE=\""ORG\"">New England Journal of Medicine</ENAMEX> , a forum likely to bring new attention to the problem .""}",more than a year ago;today;New England Journal of Medicine
ldc_entity_recog_030,"{""text"": ""A Lorillard spokewoman said , `` This is an old story ."", ""tok"": ""A Lorillard spokewoman said , `` This is an old story ."", ""tok_labeled"": ""A <ENAMEX TYPE=\""ORG\"">Lorillard</ENAMEX> spokewoman said , `` This is an old story .""}",Lorillard
ldc_entity_recog_031,"{""text"": ""We 're talking about years ago before anyone heard of asbestos having any questionable properties ."", ""tok"": ""We 're talking about years ago before anyone heard of asbestos having any questionable properties ."", ""tok_labeled"": ""We 're talking about <ENAMEX TYPE=\""DATE\"">years ago</ENAMEX> before anyone heard of asbestos having any questionable properties .""}",years ago
ldc_entity_recog_032,"{""text"": ""Neither Lorillard nor the researchers who studied the workers were aware of any research on smokers of the Kent cigarettes ."", ""tok"": ""Neither Lorillard nor the researchers who studied the workers were aware of any research on smokers of the Kent cigarettes ."", ""tok_labeled"": ""Neither <ENAMEX TYPE=\""ORG\"">Lorillard</ENAMEX> nor the researchers who studied the workers were aware of any research on smokers of the <ENAMEX TYPE=\""PRODUCT\"">Kent</ENAMEX> cigarettes .""}",Lorillard;Kent
ldc_entity_recog_033,"{""text"": ""`` We have no useful information on whether users are at risk , '' said James A. Talcott of Boston 's Dana - Farber Cancer Institute ."", ""tok"": ""`` We have no useful information on whether users are at risk , '' said James A. Talcott of Boston 's Dana - Farber Cancer Institute ."", ""tok_labeled"": ""`` We have no useful information on whether users are at risk , '' said <ENAMEX TYPE=\""PERSON\"">James A. Talcott</ENAMEX> of <ENAMEX TYPE=\""GPE\"">Boston</ENAMEX> 's <ENAMEX TYPE=\""ORG\"">Dana - Farber Cancer Institute</ENAMEX> .""}",James A. Talcott;Boston;Dana - Farber Cancer Institute
ldc_entity_recog_034,"{""text"": ""Dr. Talcott led a team of researchers from the National Cancer Institute and the medical schools of Harvard University and Boston University ."", ""tok"": ""Dr. Talcott led a team of researchers from the National Cancer Institute and the medical schools of Harvard University and Boston University ."", ""tok_labeled"": ""Dr. <ENAMEX TYPE=\""PERSON\"">Talcott</ENAMEX> led a team of researchers from <ENAMEX TYPE=\""ORG\"">the National Cancer Institute</ENAMEX> and the medical schools of <ENAMEX TYPE=\""ORG\"">Harvard University</ENAMEX> and <ENAMEX TYPE=\""ORG\"">Boston University</ENAMEX> .""}",Talcott;the National Cancer Institute;Harvard University;Boston University
ldc_entity_recog_035,"{""text"": ""From 1953 to 1955 , 9.8 billion Kent cigarettes with the filters were sold , the company said ."", ""tok"": ""From 1953 to 1955 , 9.8 billion Kent cigarettes with the filters were sold , the company said ."", ""tok_labeled"": ""From <ENAMEX TYPE=\""DATE\"">1953 to 1955</ENAMEX> , <ENAMEX TYPE=\""CARDINAL\"">9.8 billion</ENAMEX> <ENAMEX TYPE=\""PRODUCT\"">Kent</ENAMEX> cigarettes with the filters were sold , the company said .""}",1953 to 1955;9.8 billion;Kent
ldc_entity_recog_036,"{""text"": ""Among 33 men who worked closely with the substance , 28 have died -- more than three times the expected number ."", ""tok"": ""Among 33 men who worked closely with the substance , 28 have died -- more than three times the expected number ."", ""tok_labeled"": ""Among <ENAMEX TYPE=\""CARDINAL\"">33</ENAMEX> men who worked closely with the substance , <ENAMEX TYPE=\""CARDINAL\"">28</ENAMEX> have died -- <ENAMEX TYPE=\""CARDINAL\"">more than three</ENAMEX> times the expected number .""}",33;28;more than three
ldc_entity_recog_037,"{""text"": ""Four of the five surviving workers have asbestos - related diseases , including three with recently diagnosed cancer ."", ""tok"": ""Four of the five surviving workers have asbestos - related diseases , including three with recently diagnosed cancer ."", ""tok_labeled"": ""<ENAMEX TYPE=\""CARDINAL\"">Four</ENAMEX> of the <ENAMEX TYPE=\""CARDINAL\"">five</ENAMEX> surviving workers have asbestos - related diseases , including <ENAMEX TYPE=\""CARDINAL\"">three</ENAMEX> with recently diagnosed cancer .""}",Four;five;three
ldc_entity_recog_038,"{""text"": ""The total of 18 deaths from malignant mesothelioma , lung cancer and asbestosis was far higher than expected , the researchers said ."", ""tok"": ""The total of 18 deaths from malignant mesothelioma , lung cancer and asbestosis was far higher than expected , the researchers said ."", ""tok_labeled"": ""The total of <ENAMEX TYPE=\""CARDINAL\"">18</ENAMEX> deaths from malignant mesothelioma , lung cancer and asbestosis was far higher than expected , the researchers said .""}",18
ldc_entity_recog_039,"{""text"": ""`` The morbidity rate is a striking finding among those of us who study asbestos - related diseases , '' said Dr. Talcott ."", ""tok"": ""`` The morbidity rate is a striking finding among those of us who study asbestos - related diseases , '' said Dr. Talcott ."", ""tok_labeled"": ""`` The morbidity rate is a striking finding among those of us who study asbestos - related diseases , '' said Dr. <ENAMEX TYPE=\""PERSON\"">Talcott</ENAMEX> .""}",Talcott
ldc_entity_recog_040,"{""text"": ""The percentage of lung cancer deaths among the workers at the West Groton , Mass. , paper factory appears to be the highest for any asbestos workers studied in Western industrialized countries , he said ."", ""tok"": ""The percentage of lung cancer deaths among the workers at the West Groton , Mass. , paper factory appears to be the highest for any asbestos workers studied in Western industrialized countries , he said ."", ""tok_labeled"": ""The percentage of lung cancer deaths among the workers at the <ENAMEX TYPE=\""GPE\"">West Groton</ENAMEX> , <ENAMEX TYPE=\""GPE\"">Mass.</ENAMEX> , paper factory appears to be the highest for any asbestos workers studied in Western industrialized countries , he said .""}",West Groton;Mass.
ldc_entity_recog_041,"{""text"": ""The finding probably will support those who argue that the U.S. should regulate the class of asbestos including crocidolite more stringently than the common kind of asbestos , chrysotile , found in most schools and other buildings , Dr. Talcott said ."", ""tok"": ""The finding probably will support those who argue that the U.S. should regulate the class of asbestos including crocidolite more stringently than the common kind of asbestos , chrysotile , found in most schools and other buildings , Dr. Talcott said ."", ""tok_labeled"": ""The finding probably will support those who argue that the <ENAMEX TYPE=\""GPE\"">U.S.</ENAMEX> should regulate the class of asbestos including crocidolite more stringently than the common kind of asbestos , chrysotile , found in most schools and other buildings , Dr. <ENAMEX TYPE=\""PERSON\"">Talcott</ENAMEX> said .""}",U.S.;Talcott
ldc_entity_recog_042,"{""text"": ""The U.S. is one of the few industrialized nations that does n't have a higher standard of regulation for the smooth , needle - like fibers such as crocidolite that are classified as amphobiles , according to Brooke T. Mossman , a professor of pathlogy at the University of Vermont College of Medicine ."", ""tok"": ""The U.S. is one of the few industrialized nations that does n't have a higher standard of regulation for the smooth , needle - like fibers such as crocidolite that are classified as amphobiles , according to Brooke T. Mossman , a professor of pathlogy at the University of Vermont College of Medicine ."", ""tok_labeled"": ""The <ENAMEX TYPE=\""GPE\"">U.S.</ENAMEX> is one of the few industrialized nations that does n't have a higher standard of regulation for the smooth , needle - like fibers such as crocidolite that are classified as amphobiles , according to <ENAMEX TYPE=\""PERSON\"">Brooke T. Mossman</ENAMEX> , a professor of pathlogy at <ENAMEX TYPE=\""ORG\"">the University of Vermont College of Medicine</ENAMEX> .""}",U.S.;Brooke T. Mossman;the University of Vermont College of Medicine
ldc_entity_recog_043,"{""text"": ""More common chrysotile fibers are curly and are more easily rejected by the body , Dr. Mossman explained ."", ""tok"": ""More common chrysotile fibers are curly and are more easily rejected by the body , Dr. Mossman explained ."", ""tok_labeled"": ""More common chrysotile fibers are curly and are more easily rejected by the body , Dr. <ENAMEX TYPE=\""PERSON\"">Mossman</ENAMEX> explained .""}",Mossman
ldc_entity_recog_044,"{""text"": ""In July , the Environmental Protection Agency imposed a gradual ban on virtually all uses of asbestos ."", ""tok"": ""In July , the Environmental Protection Agency imposed a gradual ban on virtually all uses of asbestos ."", ""tok_labeled"": ""In <ENAMEX TYPE=\""DATE\"">July</ENAMEX> , <ENAMEX TYPE=\""ORG\"">the Environmental Protection Agency</ENAMEX> imposed a gradual ban on virtually all uses of asbestos .""}",July;the Environmental Protection Agency
ldc_entity_recog_045,"{""text"": ""By 1997 , almost all remaining uses of cancer - causing asbestos will be outlawed ."", ""tok"": ""By 1997 , almost all remaining uses of cancer - causing asbestos will be outlawed ."", ""tok_labeled"": ""By <ENAMEX TYPE=\""DATE\"">1997</ENAMEX> , almost all remaining uses of cancer - causing asbestos will be outlawed .""}",1997
ldc_entity_recog_046,"{""text"": ""`` But you have to recognize that these events took place 35 years ago ."", ""tok"": ""`` But you have to recognize that these events took place 35 years ago ."", ""tok_labeled"": ""`` But you have to recognize that these events took place <ENAMEX TYPE=\""DATE\"">35 years ago</ENAMEX> .""}",35 years ago
ldc_entity_recog_047,"{""text"": ""It has no bearing on our work force today ."", ""tok"": ""It has no bearing on our work force today ."", ""tok_labeled"": ""It has no bearing on our work force <ENAMEX TYPE=\""DATE\"">today</ENAMEX> .""}",today
ldc_entity_recog_048,"{""text"": ""The federal government suspended sales of U.S. savings bonds because Congress has n't lifted the ceiling on government debt ."", ""tok"": ""The federal government suspended sales of U.S. savings bonds because Congress has n't lifted the ceiling on government debt ."", ""tok_labeled"": ""The federal government suspended sales of <ENAMEX TYPE=\""GPE\"">U.S.</ENAMEX> savings bonds because <ENAMEX TYPE=\""ORG\"">Congress</ENAMEX> has n't lifted the ceiling on government debt .""}",U.S.;Congress
ldc_entity_recog_049,"{""text"": ""Until Congress acts , the government has n't any authority to issue new debt obligations of any kind , the Treasury said ."", ""tok"": ""Until Congress acts , the government has n't any authority to issue new debt obligations of any kind , the Treasury said ."", ""tok_labeled"": ""Until <ENAMEX TYPE=\""ORG\"">Congress</ENAMEX> acts , the government has n't any authority to issue new debt obligations of any kind , the <ENAMEX TYPE=\""ORG\"">Treasury</ENAMEX> said .""}",Congress;Treasury
ldc_entity_recog_050,"{""text"": ""The government 's borrowing authority dropped at midnight Tuesday to $ 2.80 trillion from $ 2.87 trillion ."", ""tok"": ""The government 's borrowing authority dropped at midnight Tuesday to $ 2.80 trillion from $ 2.87 trillion ."", ""tok_labeled"": ""The government 's borrowing authority dropped at <ENAMEX TYPE=\""TIME\"">midnight</ENAMEX> <ENAMEX TYPE=\""DATE\"">Tuesday</ENAMEX> to <ENAMEX TYPE=\""MONEY\"">$ 2.80 trillion</ENAMEX> from <ENAMEX TYPE=\""MONEY\"">$ 2.87 trillion</ENAMEX> .""}",midnight;Tuesday;$ 2.80 trillion;$ 2.87 trillion
